"Time","Vampire","Divorce","British royal family"
"2022-12-01",9,21,16
"2023-01-01",8,25,12
"2023-02-01",8,24,7
"2023-03-01",8,23,8
"2023-04-01",9,25,9
"2023-05-01",9,27,20
"2023-06-01",9,25,7
"2023-07-01",12,25,6
"2023-08-01",12,27,7
"2023-09-01",13,27,6
"2023-10-01",21,25,5
"2023-11-01",11,24,11
"2023-12-01",10,24,9
"2024-01-01",11,27,4
"2024-02-01",10,26,6
"2024-03-01",10,30,27
"2024-04-01",10,28,7
"2024-05-01",11,30,7
"2024-06-01",10,25,6
"2024-07-01",10,28,6
"2024-08-01",11,28,5
"2024-09-01",12,29,5
"2024-10-01",21,28,5
"2024-11-01",11,25,5
"2024-12-01",10,26,6
"2025-01-01",11,32,5
"2025-02-01",11,31,4
"2025-03-01",10,30,4
"2025-04-01",12,31,5
"2025-05-01",12,28,4
"2025-06-01",10,30,5
"2025-07-01",10,29,5
"2025-08-01",11,31,4
"2025-09-01",12,28,6
"2025-10-01",23,31,8
"2025-11-01",12,31,6
"2025-12-01",11,32,7
"2026-01-01",12,35,4
"2026-02-01",15,36,8
"2026-03-01",10,34,5
"2026-04-01",12,34,7
